model,n_input,n_output,cpu_usage,gpu_usage,execution_time
Qwen/Qwen2.5-14B-Instruct,108,682,0.5999999999999996,85,25.423970699310303
Qwen/Qwen2.5-14B-Instruct,116,944,0.0,87,31.67318558692932
Qwen/Qwen2.5-14B-Instruct,117,82,0.5,78,9.134211778640747
Qwen/Qwen2.5-14B-Instruct,100,151,0.5,80,10.843182802200317
Qwen/Qwen2.5-14B-Instruct,160,106,0.6000000000000001,79,9.638432741165161
Qwen/Qwen2.5-14B-Instruct,97,963,0.3999999999999999,76,31.7465660572052
Qwen/Qwen2.5-14B-Instruct,100,921,0.5,74,31.01253867149353
Qwen/Qwen2.5-14B-Instruct,128,849,0.6000000000000001,88,28.95006561279297
Qwen/Qwen2.5-14B-Instruct,145,127,0.3999999999999999,80,10.223504066467285
Qwen/Qwen2.5-14B-Instruct,112,24,0.5,78,7.873446464538574
Qwen/Qwen2.5-14B-Instruct,137,610,0.7000000000000002,80,23.122106790542603
Qwen/Qwen2.5-14B-Instruct,72,719,0.5,85,25.891452074050903
Qwen/Qwen2.5-14B-Instruct,206,109,0.6999999999999997,79,10.502543687820435
Qwen/Qwen2.5-14B-Instruct,95,60,1.0,77,9.500349283218384
Qwen/Qwen2.5-14B-Instruct,110,815,8.299999999999999,80,30.856027603149414
Qwen/Qwen2.5-14B-Instruct,128,818,-5.9,80,30.974859952926636
Qwen/Qwen2.5-14B-Instruct,99,772,0.8999999999999999,79,30.138604402542114
Qwen/Qwen2.5-14B-Instruct,208,138,6.7,68,11.552693128585815
Qwen/Qwen2.5-14B-Instruct,131,65,-6.799999999999999,73,11.045802116394043
Qwen/Qwen2.5-14B-Instruct,110,950,0.5,81,33.58302545547485
Qwen/Qwen2.5-14B-Instruct,116,868,0.3999999999999999,78,31.316274166107178
Qwen/Qwen2.5-14B-Instruct,158,607,0.5,79,24.09399390220642
Qwen/Qwen2.5-14B-Instruct,95,1024,0.5,81,36.01624250411987
Qwen/Qwen2.5-14B-Instruct,111,765,0.5,80,28.515575408935547
Qwen/Qwen2.5-14B-Instruct,64,210,0.5,74,13.143240928649902
Qwen/Qwen2.5-14B-Instruct,98,4,0.5,33,6.916666746139526
Qwen/Qwen2.5-14B-Instruct,130,642,0.5,79,25.178858041763306
Qwen/Qwen2.5-14B-Instruct,83,4,0.5,0,6.94920802116394
Qwen/Qwen2.5-14B-Instruct,102,28,0.5,73,7.697548866271973
Qwen/Qwen2.5-14B-Instruct,92,1024,0.5,83,35.34579157829285
Qwen/Qwen2.5-14B-Instruct,139,1024,0.2999999999999998,83,35.643550872802734
Qwen/Qwen2.5-14B-Instruct,162,9,0.3999999999999999,72,7.1717565059661865
Qwen/Qwen2.5-14B-Instruct,86,592,0.5,79,23.401509523391724
Qwen/Qwen2.5-14B-Instruct,120,824,2.2,82,29.917895555496216
Qwen/Qwen2.5-14B-Instruct,131,12,0.5,72,7.378389835357666
Qwen/Qwen2.5-14B-Instruct,104,543,-1.1999999999999993,78,22.242577075958252
Qwen/Qwen2.5-14B-Instruct,113,846,0.2999999999999998,81,30.586662769317627
Qwen/Qwen2.5-14B-Instruct,122,1024,0.5,81,36.2444224357605
Qwen/Qwen2.5-14B-Instruct,114,303,0.5,76,15.446619749069214
Qwen/Qwen2.5-14B-Instruct,90,381,0.5,75,17.99259305000305
Qwen/Qwen2.5-14B-Instruct,229,36,0.5,34,8.994743347167969
Qwen/Qwen2.5-14B-Instruct,290,131,0.5,75,11.317405223846436
Qwen/Qwen2.5-14B-Instruct,104,793,0.5,79,29.66227149963379
Qwen/Qwen2.5-14B-Instruct,115,8,0.5,71,7.062114000320435
Qwen/Qwen2.5-14B-Instruct,92,13,0.5,72,7.268298387527466
Qwen/Qwen2.5-14B-Instruct,123,688,0.5,78,26.536931037902832
Qwen/Qwen2.5-14B-Instruct,124,351,0.7999999999999998,76,17.197176933288574
Qwen/Qwen2.5-14B-Instruct,108,575,0.5,51,23.527067184448242
Qwen/Qwen2.5-14B-Instruct,114,421,0.5,76,19.022704601287842
Qwen/Qwen2.5-14B-Instruct,122,822,0.5,63,30.409055948257446
